algorithm,scenario_name,num_cloudlets,seed,phi_fraction,rho_tightness,makespan_sec,total_energy_j,deadline_miss_rate,avg_tardiness_sec
DGWO,Scenario_500,500,1004,0.3,2.0,352.6171,52898.2670,1.0000,11.3916
DBDE,Scenario_500,500,1004,0.3,1.2,314.5843,47193.2702,1.0000,8.8056
DBDE,Scenario_500,500,1003,0.3,2.0,348.3114,52252.1707,1.0000,6.9548
DGWO,Scenario_500,500,1002,0.6,2.0,290.3829,43564.8715,1.0000,18.9260
DWOA,Scenario_100,100,1000,0.3,1.2,29.8677,4483.8124,1.0000,2.4488
DGWO,Scenario_100,100,1003,0.6,1.2,33.7218,5062.3856,1.0000,3.4498
I-COA,Scenario_100,100,1002,0.6,2.0,41.4246,6218.7940,1.0000,4.0085
I-COA,Scenario_500,500,1003,0.3,2.0,234.3055,35152.7933,1.0000,24.9258
DCOA-TS,Scenario_500,500,1004,0.3,1.2,67.7877,10171.8519,1.0000,29.8053
I-COA,Scenario_500,500,1000,0.6,1.5,175.5277,26334.8615,1.0000,28.6873
DCOA-TS,Scenario_1000,1000,1003,0.3,1.2,117.9785,17703.8800,1.0000,51.1397
DWOA,Scenario_100,100,1001,0.3,1.2,35.1413,5274.5140,1.0000,2.3151
DGWO,Scenario_100,100,1004,0.6,1.2,39.1127,5872.3649,1.0000,3.9397
GO,Scenario_500,500,1004,0.6,1.5,254.6357,38202.7508,1.0000,24.2557
DWOA,Scenario_100,100,1002,0.3,1.2,32.6790,4905.9197,1.0000,2.7860
DWOA,Scenario_500,500,1001,0.3,1.5,418.6257,62800.5878,1.0000,12.8330
I-COA,Scenario_500,500,1004,0.3,1.5,344.0400,51613.1052,1.0000,24.8557
DWOA,Scenario_1000,1000,1004,0.3,1.2,529.0343,79362.1353,1.0000,34.3287
DWOA,Scenario_500,500,1001,0.3,2.0,342.7571,51420.8469,1.0000,12.2772
DGWO,Scenario_500,500,1000,0.3,1.2,428.9529,64350.0642,1.0000,11.6677
DCOA-TS,Scenario_1000,1000,1004,0.3,2.0,120.4486,18072.2474,1.0000,49.6392
DBDE,Scenario_500,500,1000,0.6,2.0,462.9729,69453.3397,1.0000,14.2413
I-COA,Scenario_500,500,1001,0.6,2.0,187.3591,28109.7933,1.0000,28.6099
DBDE,Scenario_500,500,1004,0.3,2.0,376.1329,56426.9638,1.0000,8.1076
DCOA-TS,Scenario_500,500,1000,0.3,2.0,62.1964,9333.4555,1.0000,27.8493
DGWO,Scenario_500,500,1004,0.3,1.5,416.5057,62482.3656,1.0000,11.7549
DGWO,Scenario_500,500,1002,0.3,1.5,514.9800,77254.5418,1.0000,13.5055
GO,Scenario_500,500,1000,0.3,2.0,299.2329,44891.8595,1.0000,20.1243
I-COA,Scenario_500,500,1000,0.3,1.2,341.4671,51226.7135,1.0000,25.1619
GO,Scenario_1000,1000,1001,0.3,1.5,623.5257,93536.3735,1.0000,46.8572
GO,Scenario_1000,1000,1000,0.3,2.0,600.7500,90119.8218,1.0000,47.3201
DCOA-TS,Scenario_1000,1000,1004,0.3,1.2,124.4726,18675.5946,1.0000,50.8144
DGWO,Scenario_500,500,1003,0.6,2.0,409.7414,61469.3684,1.0000,18.3064
I-COA,Scenario_500,500,1004,0.3,2.0,344.0400,51613.1052,1.0000,24.2785
DQN,Scenario_50,50,1000,0.3,2.0,25.1413,3774.7847,1.0000,3.4334
I-COA,Scenario_500,500,1001,0.6,1.5,187.3591,28109.7933,1.0000,29.1753
DWOA,Scenario_500,500,1000,0.6,1.5,292.0957,43822.6541,1.0000,19.5231
DCOA-TS,Scenario_500,500,1001,0.3,2.0,57.7111,8660.1534,1.0000,25.0968
DBDE,Scenario_500,500,1001,0.6,2.0,194.2109,29137.4969,1.0000,16.4893
DWOA,Scenario_500,500,1002,0.3,2.0,470.0186,70511.1297,1.0000,14.5256
DCOA-TS,Scenario_500,500,1000,0.6,1.2,88.0531,13211.6708,1.0000,29.4624
DGWO,Scenario_500,500,1001,0.3,1.2,446.0886,66920.0706,1.0000,11.5052
DCOA-TS,Scenario_500,500,1002,0.3,2.0,63.0759,9465.0036,1.0000,28.7510
I-COA,Scenario_500,500,1002,0.6,2.0,152.4327,22870.2942,1.0000,28.0208
I-COA,Scenario_500,500,1000,0.3,2.0,341.4671,51226.7135,1.0000,24.2436
DWOA,Scenario_500,500,1002,0.3,1.5,513.3129,77004.8992,1.0000,14.7153
GO,Scenario_500,500,1001,0.3,2.0,290.7943,43625.9497,1.0000,19.3068
I-COA,Scenario_500,500,1001,0.3,1.2,233.6400,35052.0038,1.0000,24.7191
DCOA-TS,Scenario_500,500,1001,0.6,1.2,70.1524,10528.4431,1.0000,28.2314
DWOA,Scenario_500,500,1001,0.6,1.5,198.2355,29742.8975,1.0000,20.4484
DCOA-TS,Scenario_500,500,1003,0.3,2.0,57.2686,8594.3316,1.0000,27.0482
DGWO,Scenario_500,500,1004,0.6,2.0,315.8800,47388.9459,1.0000,18.0301
DBDE,Scenario_1000,1000,1000,0.3,1.2,848.8943,127341.1887,1.0000,19.3574
I-COA,Scenario_500,500,1002,0.6,1.5,152.4327,22870.2942,1.0000,28.5919
DBDE,Scenario_500,500,1002,0.6,2.0,303.8314,45581.3381,1.0000,15.2697
DQN,Scenario_50,50,1000,0.6,2.0,25.1433,3774.7568,1.0000,4.1259
DQN,Scenario_50,50,1001,0.3,1.2,43.1500,6475.1746,1.0000,6.6625
DCOA-TS,Scenario_500,500,1002,0.6,1.2,78.0889,11717.1307,1.0000,28.5109
DWOA,Scenario_500,500,1003,0.3,2.0,503.2829,75499.4752,1.0000,13.1812
DQN,Scenario_50,50,1000,0.6,1.2,25.2525,3790.9195,1.0000,4.9464
GO,Scenario_500,500,1003,0.6,1.2,289.3957,43416.5741,1.0000,24.8594
I-COA,Scenario_500,500,1003,0.6,2.0,188.7827,28322.6391,1.0000,28.6675
I-COA,Scenario_2000,2000,1000,0.6,1.2,998.7743,149822.8446,1.0000,140.1252
DBDE,Scenario_500,500,1001,0.3,1.5,315.4443,47322.3117,1.0000,7.8733
I-COA,Scenario_500,500,1002,0.3,1.2,206.3036,30952.5789,1.0000,26.2469
GO,Scenario_500,500,1000,0.3,1.5,314.9529,47249.5738,1.0000,20.5105
DBDE,Scenario_500,500,1003,0.6,2.0,365.0100,54758.7506,1.0000,14.4694
GO,Scenario_1000,1000,1001,0.3,2.0,623.5257,93536.3735,1.0000,46.2892
GO,Scenario_500,500,1002,0.3,2.0,332.2443,49843.5921,1.0000,21.1115
GO,Scenario_500,500,1000,0.6,2.0,279.8400,41982.5030,1.0000,23.6212
I-COA,Scenario_500,500,1003,0.6,1.5,188.7827,28322.6391,1.0000,29.2325
FCFS,Scenario_500,500,1000,0.3,2.0,423.2643,63496.0739,1.0000,49.6226
DWOA,Scenario_500,500,1002,0.6,1.5,357.0114,53559.7777,1.0000,20.4635
FCFS,Scenario_1000,1000,1004,0.3,1.5,816.6371,122502.7947,1.0000,95.0850
DWOA,Scenario_500,500,1003,0.3,1.5,308.1718,46231.6659,1.0000,13.2194
FCFS,Scenario_500,500,1001,0.3,2.0,423.2643,63496.0739,1.0000,47.4593
DGWO,Scenario_500,500,1002,0.3,1.2,373.6357,56053.0466,1.0000,13.7476
FCFS,Scenario_500,500,1002,0.3,2.0,423.2643,63496.0739,1.0000,40.8817
DWOA,Scenario_500,500,1004,0.3,2.0,595.6214,89351.6711,1.0000,12.0133
FCFS,Scenario_500,500,1003,0.3,2.0,423.2643,63496.0739,1.0000,45.0761
FCFS,Scenario_500,500,1004,0.3,2.0,423.2643,63496.0739,1.0000,46.6664
GO,Scenario_50,50,1003,0.6,2.0,18.4207,2767.9199,1.0000,1.5320
DQN,Scenario_50,50,1000,0.3,1.5,25.2564,3792.1129,1.0000,3.7471
DGWO,Scenario_500,500,1001,0.6,1.2,372.5386,55888.0799,1.0000,18.8623
DBDE,Scenario_500,500,1002,0.3,1.5,296.3171,44453.4951,1.0000,8.9321
GO,Scenario_50,50,1004,0.6,2.0,10.9761,1649.7102,1.0000,1.9537
GO,Scenario_1000,1000,1002,0.3,1.5,518.3957,77767.4179,1.0000,50.0364
GO,Scenario_500,500,1004,0.6,1.2,254.6357,38202.7508,1.0000,24.5964
DBDE,Scenario_1000,1000,1001,0.3,1.2,875.0100,131258.7476,1.0000,20.1847
DWOA,Scenario_50,50,1000,0.6,2.0,15.6295,2347.4532,1.0000,1.4762
GO,Scenario_500,500,1001,0.3,1.5,290.7943,43625.9497,1.0000,19.8675
I-COA,Scenario_500,500,1003,0.3,1.2,234.3055,35152.7933,1.0000,25.8409
DQN,Scenario_50,50,1000,0.3,1.2,28.9915,4351.6416,1.0000,6.4134
DWOA,Scenario_500,500,1003,0.6,1.5,228.9743,34353.6222,1.0000,20.3855
GO,Scenario_500,500,1001,0.6,2.0,272.1914,40836.2719,1.0000,23.6892
DWOA,Scenario_50,50,1001,0.6,2.0,13.5208,2031.7385,1.0000,1.8256
DWOA,Scenario_500,500,1004,0.3,1.5,330.0300,49510.7821,1.0000,13.4300
I-COA,Scenario_500,500,1004,0.6,1.5,192.3786,28862.3900,1.0000,27.8285
DWOA,Scenario_50,50,1002,0.6,2.0,17.8809,2685.0679,1.0000,1.7215
DBDE,Scenario_500,500,1003,0.3,1.5,329.1057,49371.6670,1.0000,7.5865
DQN,Scenario_50,50,1000,0.6,1.5,25.2576,3792.0632,1.0000,4.9475
DWOA,Scenario_50,50,1003,0.6,2.0,12.0840,1814.7053,1.0000,1.5352
DGWO,Scenario_500,500,1000,0.3,2.0,344.6229,51699.8183,1.0000,11.3043
DCOA-TS,Scenario_500,500,1000,0.6,2.0,74.9694,11249.3920,1.0000,27.1938
DGWO,Scenario_500,500,1002,0.6,1.2,280.9414,42148.9509,1.0000,19.7461
DWOA,Scenario_50,50,1004,0.6,2.0,15.7946,2373.6182,1.0000,1.6256
DWOA,Scenario_500,500,1000,0.6,1.2,292.0957,43822.6541,1.0000,19.8664
DBDE,Scenario_50,50,1000,0.6,2.0,17.8292,2679.0266,1.0000,1.6690
I-COA,Scenario_500,500,1004,0.6,2.0,192.3786,28862.3900,1.0000,27.2606
DBDE,Scenario_500,500,1000,0.3,1.5,350.9427,52648.0995,1.0000,7.8063
I-COA,Scenario_500,500,1004,0.3,1.2,344.0400,51613.1052,1.0000,25.2021
DBDE,Scenario_50,50,1001,0.6,2.0,25.1463,3776.1000,1.0000,1.4722
DCOA-TS,Scenario_500,500,1001,0.6,2.0,69.5888,10442.7088,1.0000,27.2965
DBDE,Scenario_50,50,1002,0.6,2.0,22.3630,3358.8745,1.0000,1.6702
GO,Scenario_500,500,1002,0.6,2.0,125.1655,18780.3506,1.0000,24.1262
DBDE,Scenario_50,50,1003,0.6,2.0,17.2827,2596.7625,1.0000,1.4983
DGWO,Scenario_500,500,1001,0.6,1.5,279.7500,41969.7176,1.0000,18.4313
GO,Scenario_1000,1000,1002,0.3,2.0,518.3957,77767.4179,1.0000,49.4763
GO,Scenario_500,500,1002,0.3,1.5,332.2443,49843.5921,1.0000,21.6765
DBDE,Scenario_50,50,1004,0.6,2.0,18.3564,2757.1047,1.0000,1.5678
DBDE,Scenario_500,500,1004,0.3,1.5,246.6478,37002.1290,1.0000,8.8095
I-COA,Scenario_50,50,1000,0.6,2.0,16.9069,2540.8160,1.0000,2.1782
DGWO,Scenario_1000,1000,1000,0.3,1.5,590.5429,88588.1833,1.0000,32.8579
DCOA-TS,Scenario_500,500,1000,0.3,1.5,59.9707,8999.6830,1.0000,27.1620
DBDE,Scenario_1000,1000,1002,0.3,1.2,722.4983,108381.5017,1.0000,21.7975
DGWO,Scenario_50,50,1001,0.6,2.0,24.7509,3717.1348,1.0000,1.8583
DQN,Scenario_50,50,1001,0.3,2.0,43.3529,6507.4134,1.0000,2.6893
DGWO,Scenario_50,50,1002,0.6,2.0,17.3762,2609.5806,1.0000,1.7006
DWOA,Scenario_500,500,1001,0.6,1.2,189.2864,28399.8986,1.0000,20.7216
DGWO,Scenario_500,500,1001,0.3,2.0,462.2714,69347.4190,1.0000,11.1653
DGWO,Scenario_50,50,1003,0.6,2.0,17.9113,2689.8333,1.0000,1.4642
DCOA-TS,Scenario_1000,1000,1000,0.3,1.2,110.6199,16601.8017,1.0000,50.9436
DGWO,Scenario_500,500,1003,0.6,1.2,282.9430,42449.2580,1.0000,19.1320
DGWO,Scenario_50,50,1004,0.6,2.0,16.7923,2522.3297,1.0000,1.6305
DCOA-TS,Scenario_500,500,1001,0.3,1.5,60.9658,9148.0152,1.0000,27.9525
GO,Scenario_50,50,1000,0.6,2.0,18.2645,2743.4327,1.0000,1.8016
DQN,Scenario_100,100,1001,0.6,2.0,36.8686,5534.4574,1.0000,5.3304
DWOA,Scenario_500,500,1004,0.6,1.5,353.6729,53058.6988,1.0000,19.7061
GO,Scenario_50,50,1001,0.6,2.0,27.1755,4081.1782,1.0000,1.9818
DQN,Scenario_100,100,1000,0.3,1.2,51.8558,7783.3430,1.0000,8.4268
DCOA-TS,Scenario_500,500,1004,0.3,2.0,64.6797,9706.0087,1.0000,27.5115
GO,Scenario_50,50,1002,0.6,2.0,16.9076,2540.2233,1.0000,1.7812
GO,Scenario_500,500,1003,0.6,2.0,289.3957,43416.5741,1.0000,23.9556
FCFS,Scenario_50,50,1000,0.6,2.0,67.3257,10104.1122,1.0000,8.6081
FCFS,Scenario_50,50,1001,0.6,2.0,67.3257,10104.1122,1.0000,7.3464
FCFS,Scenario_50,50,1002,0.6,2.0,67.3257,10104.1122,1.0000,4.2597
FCFS,Scenario_50,50,1003,0.6,2.0,67.3257,10104.1122,1.0000,7.8262
FCFS,Scenario_50,50,1004,0.6,2.0,67.3257,10104.1122,1.0000,9.5669
GO,Scenario_1000,1000,1003,0.3,1.5,628.8114,94330.8290,1.0000,49.0124
DGWO,Scenario_500,500,1002,0.6,1.5,445.8629,66887.8361,1.0000,18.9702
DCOA-TS,Scenario_500,500,1002,0.3,1.5,66.1435,9924.5234,1.0000,29.9564
DGWO,Scenario_50,50,1000,0.6,2.0,31.2238,4687.3056,1.0000,1.5834
I-COA,Scenario_500,500,1000,0.3,1.5,341.4671,51226.7135,1.0000,24.8176
DGWO,Scenario_100,100,1000,0.3,1.2,37.0750,5564.7697,1.0000,2.1162
DWOA,Scenario_500,500,1002,0.6,1.2,356.9671,53553.6926,1.0000,20.7295
DCOA-TS,Scenario_500,500,1003,0.3,1.5,58.8874,8836.6574,1.0000,28.5294
DGWO,Scenario_100,100,1001,0.3,1.2,35.9060,5389.3055,1.0000,2.0834
DQN,Scenario_50,50,1001,0.6,2.0,43.1314,6473.6327,1.0000,4.8486
DBDE,Scenario_500,500,1000,0.6,1.5,403.8300,60582.2359,1.0000,14.9333
DGWO,Scenario_500,500,1004,0.6,1.2,290.0429,43513.5570,1.0000,19.1720
DGWO,Scenario_100,100,1002,0.3,1.2,28.5567,4287.1110,1.0000,2.5636
GO,Scenario_500,500,1003,0.3,1.5,311.0357,46661.6984,1.0000,19.7187
DCOA-TS,Scenario_500,500,1004,0.3,1.5,63.9832,9601.2346,1.0000,28.6658
DGWO,Scenario_100,100,1003,0.3,1.2,18.9086,2838.8772,1.0000,2.1929
GO,Scenario_500,500,1004,0.6,2.0,258.5114,38783.3909,1.0000,23.6974
GO,Scenario_1000,1000,1003,0.3,2.0,639.0886,95872.6109,1.0000,48.4485
DGWO,Scenario_500,500,1003,0.6,1.5,419.6271,62952.2766,1.0000,18.3997
I-COA,Scenario_2000,2000,1001,0.6,1.2,984.7057,147713.2454,1.0000,137.3506
DGWO,Scenario_100,100,1004,0.3,1.2,42.9138,6441.8024,1.0000,2.9362
I-COA,Scenario_500,500,1001,0.3,1.5,233.6400,35052.0038,1.0000,24.3827
DBDE,Scenario_1000,1000,1003,0.3,1.2,861.8186,129280.4636,1.0000,19.5988
DWOA,Scenario_500,500,1003,0.6,1.2,361.0900,54171.0794,1.0000,20.2564
GO,Scenario_100,100,1000,0.3,1.2,34.5663,5189.0089,1.0000,2.6863
DBDE,Scenario_500,500,1001,0.6,1.5,234.0371,35112.0310,1.0000,16.4841
DQN,Scenario_50,50,1002,0.3,1.2,23.8304,3579.0034,1.0000,4.1892
GO,Scenario_100,100,1001,0.3,1.2,26.4113,3966.8654,1.0000,2.7493
DGWO,Scenario_1000,1000,1001,0.3,1.5,831.4271,124722.6784,1.0000,33.9725
GO,Scenario_500,500,1000,0.6,1.2,291.0800,43668.5911,1.0000,24.4658
DQN,Scenario_50,50,1001,0.6,1.2,43.1314,6473.0906,1.0000,5.9151
DQN,Scenario_100,100,1000,0.3,1.5,29.1634,4377.7952,1.0000,7.1713
GO,Scenario_500,500,1004,0.3,1.2,268.0900,40221.0117,1.0000,20.6520
DWOA,Scenario_500,500,1000,0.6,2.0,292.0957,43822.6541,1.0000,18.9508
DGWO,Scenario_500,500,1004,0.6,1.5,293.0586,43965.6773,1.0000,18.5673
DBDE,Scenario_500,500,1002,0.6,1.5,253.6091,38048.6306,1.0000,15.6641
DWOA,Scenario_500,500,1004,0.6,1.2,353.6729,53058.6988,1.0000,20.0468
DQN,Scenario_100,100,1000,0.6,2.0,29.1157,4371.5036,1.0000,5.8138
DBDE,Scenario_1000,1000,1003,0.3,1.5,986.4671,147978.0373,1.0000,19.5866
I-COA,Scenario_5000,5000,1002,0.6,1.5,2832.0243,424816.4524,1.0000,377.9790
DCOA-TS,Scenario_500,500,1003,0.6,1.2,66.2034,9934.8867,1.0000,27.6228
GO,Scenario_500,500,1001,0.6,1.2,277.6714,41658.1005,1.0000,24.9753
DWOA,Scenario_500,500,1001,0.6,2.0,159.5334,23937.6008,1.0000,20.2521
DWOA,Scenario_500,500,1000,0.3,1.2,373.0629,55966.5834,1.0000,13.8038
DBDE,Scenario_500,500,1003,0.6,1.5,301.9000,45291.5025,1.0000,15.1774
DCOA-TS,Scenario_500,500,1004,0.6,1.2,68.4789,10274.8569,1.0000,28.1707
GO,Scenario_500,500,1000,0.6,1.5,291.0800,43668.5911,1.0000,24.1224
DQN,Scenario_50,50,1001,0.3,1.5,43.2471,6489.7728,1.0000,4.9047
GO,Scenario_1000,1000,1004,0.3,2.0,546.6157,81999.7900,1.0000,45.1953
DBDE,Scenario_1000,1000,1004,0.3,1.2,814.3800,122164.4005,1.0000,20.6041
DQN,Scenario_50,50,1001,0.6,1.5,43.2257,6488.0113,1.0000,3.8288
GO,Scenario_1000,1000,1004,0.3,1.5,546.6157,81999.7900,1.0000,45.7774
GO,Scenario_500,500,1002,0.6,1.2,145.1299,21775.3514,1.0000,24.7980
DGWO,Scenario_1000,1000,1002,0.3,1.5,870.9343,130648.0304,1.0000,34.8954
DWOA,Scenario_500,500,1002,0.6,2.0,349.5043,52433.6967,1.0000,19.8712
DBDE,Scenario_500,500,1004,0.6,1.5,288.2136,43239.0403,1.0000,15.6376
DWOA,Scenario_500,500,1001,0.3,1.2,425.3886,63814.9075,1.0000,13.7751
DBDE,Scenario_1000,1000,1004,0.3,1.5,838.8243,125831.0180,1.0000,20.2566
DQN,Scenario_100,100,1002,0.6,1.2,88.9686,13351.1429,1.0000,8.9081
GO,Scenario_500,500,1001,0.6,1.5,272.1914,40836.2719,1.0000,24.2545
DQN,Scenario_100,100,1003,0.3,1.5,23.5360,3533.5632,1.0000,7.9288
DCOA-TS,Scenario_500,500,1002,0.6,2.0,68.9162,10340.9918,1.0000,26.8521
DQN,Scenario_50,50,1002,0.3,2.0,23.9654,3598.4694,1.0000,4.5088
DWOA,Scenario_500,500,1002,0.3,1.2,513.3129,77004.8992,1.0000,15.0543
DCOA-TS,Scenario_500,500,1003,0.6,2.0,58.8249,8828.8264,1.0000,25.3911
DQN,Scenario_50,50,1002,0.6,2.0,23.8286,3578.7448,1.0000,3.2120
DWOA,Scenario_1000,1000,1000,0.3,2.0,673.0886,100971.0164,1.0000,34.6403
FCFS,Scenario_1000,1000,1003,0.3,2.0,816.6371,122502.7947,1.0000,98.9198
I-COA,Scenario_1000,1000,1000,0.3,1.2,650.8543,97635.6200,1.0000,59.1781
I-COA,Scenario_2000,2000,1002,0.6,1.2,1070.5500,160590.2349,1.0000,138.1618
DGWO,Scenario_2000,2000,1002,0.3,1.2,1238.8957,185842.9751,1.0000,81.3571
FCFS,Scenario_1000,1000,1004,0.3,2.0,816.6371,122502.7947,1.0000,94.5029
DCOA-TS,Scenario_500,500,1004,0.6,2.0,71.8540,10783.0778,1.0000,27.4869
DWOA,Scenario_500,500,1003,0.3,1.2,308.1718,46231.6659,1.0000,13.5625
DGWO,Scenario_1000,1000,1003,0.3,1.5,756.7314,113516.7889,1.0000,33.2958
I-COA,Scenario_1000,1000,1000,0.3,1.5,650.8543,97635.6200,1.0000,58.8375
DWOA,Scenario_1000,1000,1000,0.3,1.5,673.0886,100971.0164,1.0000,35.2079
DQN,Scenario_50,50,1003,0.3,1.2,15.5792,2339.7854,1.0000,3.4069
DQN,Scenario_50,50,1002,0.6,1.2,23.8341,3578.7842,1.0000,4.6379
DWOA,Scenario_500,500,1004,0.3,1.2,330.0300,49510.7821,1.0000,13.7764
DBDE,Scenario_500,500,1000,0.3,1.2,314.8336,47230.0812,1.0000,8.0648
DGWO,Scenario_1000,1000,1000,0.3,2.0,691.5686,103741.9230,1.0000,31.5797
DQN,Scenario_50,50,1002,0.3,1.5,23.8321,3578.8788,1.0000,2.8784
DGWO,Scenario_1000,1000,1004,0.3,1.5,591.0503,88663.8784,1.0000,30.9048
I-COA,Scenario_1000,1000,1001,0.3,1.2,485.5629,72841.5096,1.0000,57.3046
I-COA,Scenario_1000,1000,1001,0.3,1.5,485.5629,72841.5096,1.0000,56.9639
DWOA,Scenario_1000,1000,1001,0.3,1.5,647.6543,97156.3663,1.0000,34.8753
DGWO,Scenario_500,500,1003,0.3,1.2,344.0357,51611.6059,1.0000,11.4786
DQN,Scenario_100,100,1002,0.6,2.0,88.8414,13331.8991,1.0000,7.1390
DCOA-TS,Scenario_1000,1000,1001,0.3,1.5,112.5994,16895.1218,1.0000,49.4160
DQN,Scenario_100,100,1001,0.3,1.2,26.1686,3928.8155,1.0000,6.0126
FCFS,Scenario_5000,5000,1001,0.6,1.5,3892.6514,583911.7217,1.0000,463.6137
DQN,Scenario_50,50,1003,0.3,2.0,15.6215,2346.2987,1.0000,2.4706
DGWO,Scenario_2000,2000,1003,0.3,1.2,1341.1486,201181.4267,1.0000,84.1165
DGWO,Scenario_500,500,1004,0.3,1.2,424.7757,63723.7390,1.0000,12.2292
DGWO,Scenario_1000,1000,1001,0.3,2.0,831.4271,124722.6784,1.0000,33.4046
I-COA,Scenario_2000,2000,1003,0.6,1.2,1004.3100,150655.2197,1.0000,137.7297
DCOA-TS,Scenario_1000,1000,1002,0.3,1.5,112.6888,16907.7425,1.0000,49.9563
DQN,Scenario_50,50,1003,0.6,2.0,24.9464,3745.4549,1.0000,2.7589
I-COA,Scenario_1000,1000,1002,0.3,1.2,529.8686,79488.3317,1.0000,58.1327
I-COA,Scenario_1000,1000,1002,0.3,1.5,529.8686,79488.3317,1.0000,57.7967
GO,Scenario_500,500,1000,0.3,1.2,314.9529,47249.5738,1.0000,20.8549
DCOA-TS,Scenario_1000,1000,1003,0.3,1.5,113.6076,17047.8077,1.0000,50.3844
DQN,Scenario_50,50,1002,0.6,1.5,23.8348,3579.0917,1.0000,4.2362
DQN,Scenario_100,100,1004,0.3,1.2,32.8082,4924.2957,1.0000,8.1886
FCFS,Scenario_100,100,1000,0.3,1.2,103.4914,15529.9205,1.0000,17.3222
FCFS,Scenario_100,100,1001,0.3,1.2,103.4914,15529.9205,1.0000,7.3186
FCFS,Scenario_100,100,1002,0.3,1.2,103.4914,15529.9205,1.0000,13.6141
FCFS,Scenario_100,100,1003,0.3,1.2,103.4914,15529.9205,1.0000,10.2465
FCFS,Scenario_100,100,1004,0.3,1.2,103.4914,15529.9205,1.0000,10.8383
FCFS,Scenario_5000,5000,1002,0.6,1.5,3892.6514,583911.7217,1.0000,472.9991
I-COA,Scenario_50,50,1001,0.6,2.0,23.3570,3508.7110,1.0000,2.4810
I-COA,Scenario_50,50,1002,0.6,2.0,22.4763,3375.7277,1.0000,2.1714
I-COA,Scenario_50,50,1003,0.6,2.0,23.9122,3590.9120,1.0000,1.9583
DQN,Scenario_50,50,1003,0.6,1.2,24.8609,3733.1967,1.0000,3.0774
I-COA,Scenario_50,50,1004,0.6,2.0,24.4071,3664.7258,1.0000,1.9700
DCOA-TS,Scenario_100,100,1000,0.3,1.2,16.3855,2460.4437,1.0000,6.8688
DCOA-TS,Scenario_1000,1000,1004,0.3,1.5,121.8937,18290.1794,1.0000,50.1278
DCOA-TS,Scenario_100,100,1001,0.3,1.2,15.0514,2260.2845,1.0000,5.5482
GO,Scenario_500,500,1001,0.3,1.2,290.7943,43625.9497,1.0000,20.2038
I-COA,Scenario_50,50,1002,0.6,1.2,16.9101,2540.3436,1.0000,3.2211
I-COA,Scenario_50,50,1003,0.6,1.2,18.1131,2720.6499,1.0000,2.5100
I-COA,Scenario_50,50,1004,0.6,1.2,24.5191,3682.0531,1.0000,2.6407
DCOA-TS,Scenario_50,50,1000,0.6,1.5,13.0959,1965.6517,1.0000,5.6838
DCOA-TS,Scenario_50,50,1001,0.6,1.5,12.2347,1836.4012,1.0000,5.3630
DGWO,Scenario_1000,1000,1002,0.3,2.0,964.2786,144652.2762,1.0000,33.9242
DQN,Scenario_50,50,1004,0.3,1.2,19.5529,2936.3271,1.0000,5.1703
FCFS,Scenario_50,50,1000,0.3,1.2,67.3257,10104.1122,1.0000,10.6243
FCFS,Scenario_50,50,1001,0.3,1.2,67.3257,10104.1122,1.0000,5.0489
DCOA-TS,Scenario_50,50,1002,0.6,1.5,13.0794,1963.5076,1.0000,5.4777
FCFS,Scenario_50,50,1002,0.3,1.2,67.3257,10104.1122,1.0000,4.3605
I-COA,Scenario_50,50,1004,0.3,1.2,28.3647,4259.2949,1.0000,2.1526
I-COA,Scenario_1000,1000,1003,0.3,1.2,522.8514,78434.8880,1.0000,58.7483
DCOA-TS,Scenario_50,50,1000,0.3,1.5,9.2239,1385.9766,1.0000,2.7055
DCOA-TS,Scenario_50,50,1001,0.3,1.5,8.2788,1243.8207,1.0000,2.8665
DCOA-TS,Scenario_50,50,1002,0.3,1.5,9.5473,1433.7413,1.0000,3.4416
FCFS,Scenario_5000,5000,1003,0.6,1.5,3892.6514,583911.7217,1.0000,485.3243
DCOA-TS,Scenario_50,50,1003,0.3,1.5,8.2110,1233.6964,1.0000,2.8038
DCOA-TS,Scenario_50,50,1004,0.3,1.5,10.3339,1553.8529,1.0000,3.3328
I-COA,Scenario_1000,1000,1003,0.3,1.5,522.8514,78434.8880,1.0000,58.4043
GO,Scenario_500,500,1002,0.3,1.2,332.2443,49843.5921,1.0000,22.0155
DQN,Scenario_50,50,1003,0.3,1.5,14.4837,2176.0577,1.0000,3.0513
GO,Scenario_500,500,1003,0.3,1.2,311.0357,46661.6984,1.0000,20.0619
FCFS,Scenario_5000,5000,1004,0.6,1.5,3892.6514,583911.7217,1.0000,460.8680
DQN,Scenario_50,50,1004,0.3,2.0,19.6490,2951.0858,1.0000,4.0667
FCFS,Scenario_50,50,1000,0.3,2.0,67.3257,10104.1122,1.0000,9.7385
I-COA,Scenario_50,50,1003,0.3,1.5,16.0331,2409.1476,1.0000,1.5436
I-COA,Scenario_5000,5000,1003,0.6,1.5,2462.8486,369436.0931,1.0000,373.8759
I-COA,Scenario_50,50,1004,0.3,1.5,19.4371,2919.1869,1.0000,2.4593
DCOA-TS,Scenario_50,50,1000,0.3,2.0,9.2239,1385.9766,1.0000,2.1519
DQN,Scenario_100,100,1003,0.6,1.2,43.2902,6498.9557,1.0000,7.5005
