algorithm,scenario_name,num_cloudlets,seed,population,iterations,episodes,w_energy,w_makespan,w_violation,makespan_sec,makespan_ms,total_energy_j,avg_waiting_sec,avg_waiting_ms,finished_cloudlets,mapping_time_ms,peak_memory_mb,deadline_miss_rate,avg_tardiness_sec,unit_note
FCFS,Scenario_50,50,1004,0,0,0,0.20,0.70,0.10,67.3257,67325.7143,10104.1122,3.8819,3881.8658,50,0,0,1.0000,10.1220,ms and sec explicitly named
RoundRobin,Scenario_500,500,1011,0,0,0,0.20,0.70,0.10,335.9657,335965.7143,50400.7805,41.7110,41711.0054,500,0,0,1.0000,43.6709,ms and sec explicitly named
FCFS,Scenario_50,50,1005,0,0,0,0.20,0.70,0.10,67.3257,67325.7143,10104.1122,3.8819,3881.8658,50,0,0,1.0000,7.9519,ms and sec explicitly named
DCOA-TS,Scenario_100,100,1009,200,100,0,0.20,0.70,0.10,17.1529,17152.8848,2574.8145,6.0409,6040.9225,100,86,867,1.0000,7.0608,ms and sec explicitly named
GO,Scenario_100,100,1014,200,100,0,0.20,0.70,0.10,64.6482,64648.1818,9703.7430,4.7614,4761.4185,100,179,1968,1.0000,3.8100,ms and sec explicitly named
FCFS,Scenario_50,50,1006,0,0,0,0.20,0.70,0.10,67.3257,67325.7143,10104.1122,3.8819,3881.8658,50,0,0,1.0000,7.1971,ms and sec explicitly named
DBDE,Scenario_50,50,1013,200,100,0,0.20,0.70,0.10,22.0150,22015.0000,3306.9223,1.6571,1657.0846,50,74,748,1.0000,1.9651,ms and sec explicitly named
DBDE,Scenario_50,50,1016,200,100,0,0.20,0.70,0.10,25.2562,25256.2500,3792.8444,1.0542,1054.1903,50,74,761,1.0000,1.9900,ms and sec explicitly named
DTSO-TS,Scenario_500,500,1027,200,100,0,0.20,0.70,0.10,68.4111,68411.0555,10264.3201,27.3415,27341.4907,500,427,0,1.0000,28.8924,ms and sec explicitly named
FCFS,Scenario_50,50,1007,0,0,0,0.20,0.70,0.10,67.3257,67325.7143,10104.1122,3.8819,3881.8658,50,0,0,1.0000,6.3698,ms and sec explicitly named
DWOA,Scenario_50,50,1002,200,100,0,0.20,0.70,0.10,18.9586,18958.6364,2847.6856,2.3509,2350.8837,50,151,1666,1.0000,2.2750,ms and sec explicitly named
RoundRobin,Scenario_500,500,1012,0,0,0,0.20,0.70,0.10,335.9657,335965.7143,50400.7805,41.7110,41711.0054,500,0,0,1.0000,44.0586,ms and sec explicitly named
FCFS,Scenario_50,50,1008,0,0,0,0.20,0.70,0.10,67.3257,67325.7143,10104.1122,3.8819,3881.8658,50,0,0,1.0000,8.5408,ms and sec explicitly named
RoundRobin,Scenario_2000,2000,1002,0,0,0,0.20,0.70,0.10,1396.5057,1396505.7143,209484.4558,176.1992,176199.1639,2000,0,0,1.0000,178.5697,ms and sec explicitly named
DCOA-TS,Scenario_500,500,1006,200,100,0,0.20,0.70,0.10,67.3057,67305.7143,10100.0146,23.5139,23513.8934,500,578,1606,1.0000,28.8595,ms and sec explicitly named
DBDE,Scenario_500,500,1026,200,100,0,0.20,0.70,0.10,256.8414,256841.4286,38532.5655,33.0532,33053.1809,500,775,0,1.0000,14.8651,ms and sec explicitly named
DGWO,Scenario_100,100,1014,200,100,0,0.20,0.70,0.10,45.3927,45392.7273,6814.7350,4.3511,4351.0926,100,193,2275,1.0000,3.3936,ms and sec explicitly named
DCOA-TS,Scenario_100,100,1010,200,100,0,0.20,0.70,0.10,18.3447,18344.7059,2753.5755,5.8111,5811.1299,100,87,1173,1.0000,7.3285,ms and sec explicitly named
DWOA,Scenario_500,500,1006,200,100,0,0.20,0.70,0.10,269.9014,269901.4286,40493.7742,28.8789,28878.9192,500,987,1166,1.0000,20.2614,ms and sec explicitly named
DBDE,Scenario_50,50,1017,200,100,0,0.20,0.70,0.10,15.6239,15623.9039,2346.8343,1.4580,1458.0132,50,73,1040,1.0000,1.7027,ms and sec explicitly named
DBDE,Scenario_50,50,1014,200,100,0,0.20,0.70,0.10,18.4787,18478.7500,2775.4819,0.9469,946.9371,50,75,1069,1.0000,2.2748,ms and sec explicitly named
DTSO-TS,Scenario_1000,1000,1011,200,100,0,0.20,0.70,0.10,122.7266,122726.5714,18412.2508,46.2053,46205.3423,1000,475,382,1.0000,48.3715,ms and sec explicitly named
PSO-SA,Scenario_500,500,1010,200,100,0,0.20,0.70,0.10,245.9273,245927.2727,36895.0169,34.8765,34876.4618,500,126,1421,1.0000,38.6431,ms and sec explicitly named
RoundRobin,Scenario_500,500,1013,0,0,0,0.20,0.70,0.10,335.9657,335965.7143,50400.7805,41.7110,41711.0054,500,0,0,1.0000,46.9543,ms and sec explicitly named
PSO-SA,Scenario_1000,1000,1008,200,100,0,0.20,0.70,0.10,543.7286,543728.5714,81565.6328,80.8294,80829.4464,1000,290,0,1.0000,81.9704,ms and sec explicitly named
DTSO-TS,Scenario_500,500,1008,200,100,0,0.20,0.70,0.10,71.2642,71264.2424,10692.1340,28.4336,28433.5798,500,180,2130,1.0000,30.2114,ms and sec explicitly named
FCFS,Scenario_500,500,1001,0,0,0,0.20,0.70,0.10,423.2643,423264.2857,63496.0739,45.5058,45505.8081,500,0,0,1.0000,51.2956,ms and sec explicitly named
DWOA,Scenario_500,500,1026,200,100,0,0.20,0.70,0.10,316.9743,316974.2857,47553.5702,29.7507,29750.7188,500,922,438,1.0000,18.4050,ms and sec explicitly named
DCOA-TS,Scenario_1000,1000,1003,200,100,0,0.20,0.70,0.10,116.8931,116893.0504,17537.6837,46.0151,46015.1234,1000,786,0,1.0000,50.6616,ms and sec explicitly named
DWOA,Scenario_50,50,1003,200,100,0,0.20,0.70,0.10,10.5292,10529.2000,1581.3433,2.0305,2030.4826,50,104,1406,1.0000,2.1254,ms and sec explicitly named
I-COA,Scenario_500,500,1004,200,100,0,0.20,0.70,0.10,192.3786,192378.5714,28862.3900,27.8010,27800.9641,500,1488,0,1.0000,27.8285,ms and sec explicitly named
DCOA-TS,Scenario_50,50,1026,200,100,0,0.20,0.70,0.10,11.6786,11678.6269,1753.4026,2.7664,2766.3605,50,98,1288,1.0000,4.0501,ms and sec explicitly named
PSO-SA,Scenario_1000,1000,1024,200,100,0,0.20,0.70,0.10,510.2957,510295.7143,76549.9560,76.9767,76976.7009,1000,324,0,1.0000,83.7976,ms and sec explicitly named
DBDE,Scenario_50,50,1018,200,100,0,0.20,0.70,0.10,25.4350,25435.0000,3819.4959,1.6478,1647.7600,50,74,833,1.0000,1.9772,ms and sec explicitly named
DWOA,Scenario_50,50,1025,200,100,0,0.20,0.70,0.10,16.7975,16797.5000,2523.3772,1.2436,1243.6161,50,84,930,1.0000,2.1941,ms and sec explicitly named
RoundRobin,Scenario_500,500,1014,0,0,0,0.20,0.70,0.10,335.9657,335965.7143,50400.7805,41.7110,41711.0054,500,0,0,1.0000,44.5749,ms and sec explicitly named
GO,Scenario_100,100,1015,200,100,0,0.20,0.70,0.10,89.4543,89454.2857,13424.3377,5.5075,5507.4887,100,179,2253,1.0000,3.9101,ms and sec explicitly named
DCOA-TS,Scenario_50,50,1027,200,100,0,0.20,0.70,0.10,12.0935,12093.5294,1815.7466,2.7115,2711.4774,50,115,0,1.0000,4.0720,ms and sec explicitly named
DWOA,Scenario_50,50,1004,200,100,0,0.20,0.70,0.10,15.6270,15626.9658,2346.8011,1.6225,1622.5059,50,139,0,1.0000,2.1484,ms and sec explicitly named
RoundRobin,Scenario_500,500,1015,0,0,0,0.20,0.70,0.10,335.9657,335965.7143,50400.7805,41.7110,41711.0054,500,0,0,1.0000,44.1976,ms and sec explicitly named
I-COA,Scenario_100,100,1008,200,100,0,0.20,0.70,0.10,45.8691,45869.0909,6886.7203,3.6926,3692.5803,100,430,0,1.0000,4.7474,ms and sec explicitly named
DWOA,Scenario_50,50,1026,200,100,0,0.20,0.70,0.10,16.7986,16798.5628,2523.2020,1.4658,1465.7629,50,134,0,1.0000,2.1271,ms and sec explicitly named
DCOA-TS,Scenario_50,50,1028,200,100,0,0.20,0.70,0.10,10.5064,10506.4000,1577.6406,2.3287,2328.7112,50,48,528,1.0000,3.5686,ms and sec explicitly named
DGWO,Scenario_100,100,1015,200,100,0,0.20,0.70,0.10,25.4946,25494.6154,3829.1571,3.6207,3620.7326,100,235,0,1.0000,3.4333,ms and sec explicitly named
DBDE,Scenario_50,50,1019,200,100,0,0.20,0.70,0.10,20.2371,20237.0833,3039.1725,0.8798,879.7885,50,147,0,1.0000,2.0793,ms and sec explicitly named
DCOA-TS,Scenario_500,500,1017,200,100,0,0.20,0.70,0.10,59.0759,59075.9048,8864.0884,22.6965,22696.4965,500,436,0,1.0000,27.4258,ms and sec explicitly named
FCFS,Scenario_500,500,1002,0,0,0,0.20,0.70,0.10,423.2643,423264.2857,63496.0739,45.5058,45505.8081,500,0,0,1.0000,49.5427,ms and sec explicitly named
PSO-SA,Scenario_500,500,1011,200,100,0,0.20,0.70,0.10,261.3414,261341.4286,39207.4301,35.2685,35268.4802,500,168,0,1.0000,36.7114,ms and sec explicitly named
DBDE,Scenario_500,500,1015,200,100,0,0.20,0.70,0.10,437.3329,437332.8571,65608.6983,39.9606,39960.6323,500,1232,0,1.0000,15.5578,ms and sec explicitly named
DCOA-TS,Scenario_50,50,1029,200,100,0,0.20,0.70,0.10,9.6174,9617.3913,1444.5794,2.2638,2263.8402,50,50,586,1.0000,3.8237,ms and sec explicitly named
GO,Scenario_50,50,1005,200,100,0,0.20,0.70,0.10,14.4090,14409.0000,2164.7744,1.3280,1328.0462,50,91,1080,1.0000,2.1244,ms and sec explicitly named
GO,Scenario_500,500,1016,200,100,0,0.20,0.70,0.10,158.7771,158777.1429,23823.5374,24.8707,24870.6748,500,2079,0,1.0000,24.1614,ms and sec explicitly named
RoundRobin,Scenario_500,500,1016,0,0,0,0.20,0.70,0.10,335.9657,335965.7143,50400.7805,41.7110,41711.0054,500,0,0,1.0000,45.7884,ms and sec explicitly named
DTSO-TS,Scenario_500,500,1009,200,100,0,0.20,0.70,0.10,87.4152,87415.1515,13114.1591,31.5472,31547.2356,500,234,0,1.0000,33.4585,ms and sec explicitly named
DBDE,Scenario_50,50,1020,200,100,0,0.20,0.70,0.10,21.9241,21924.0909,3292.5899,2.5664,2566.4484,50,75,850,1.0000,1.8484,ms and sec explicitly named
DWOA,Scenario_50,50,1027,200,100,0,0.20,0.70,0.10,20.2356,20235.6000,3038.6256,2.2033,2203.3406,50,83,967,1.0000,2.0335,ms and sec explicitly named
GO,Scenario_100,100,1016,200,100,0,0.20,0.70,0.10,37.8700,37870.0000,5686.4503,3.6372,3637.2016,100,220,0,1.0000,3.9654,ms and sec explicitly named
DTSO-TS,Scenario_1000,1000,1006,200,100,0,0.20,0.70,0.10,140.3166,140316.5714,21052.1242,48.5371,48537.0556,1000,393,0,1.0000,51.8939,ms and sec explicitly named
DCOA-TS,Scenario_1000,1000,1012,200,100,0,0.20,0.70,0.10,115.3429,115342.8571,17306.4448,45.9177,45917.6701,1000,883,0,1.0000,50.9376,ms and sec explicitly named
DCOA-TS,Scenario_1000,1000,1022,200,100,0,0.20,0.70,0.10,114.3206,114320.5714,17153.4251,45.8512,45851.1752,1000,796,0,1.0000,51.0662,ms and sec explicitly named
FCFS,Scenario_500,500,1027,0,0,0,0.20,0.70,0.10,423.2643,423264.2857,63496.0739,45.5058,45505.8081,500,0,0,1.0000,46.9965,ms and sec explicitly named
GO,Scenario_50,50,1006,200,100,0,0.20,0.70,0.10,25.2713,25271.2500,3794.5035,1.4507,1450.6908,50,91,1003,1.0000,1.6799,ms and sec explicitly named
DBDE,Scenario_50,50,1021,200,100,0,0.20,0.70,0.10,25.6262,25626.1538,3848.3053,1.9254,1925.4051,50,75,835,1.0000,2.1911,ms and sec explicitly named
DWOA,Scenario_50,50,1028,200,100,0,0.20,0.70,0.10,23.5810,23581.0000,3539.9919,2.8839,2883.8763,50,83,950,1.0000,1.7872,ms and sec explicitly named
FCFS,Scenario_500,500,1003,0,0,0,0.20,0.70,0.10,423.2643,423264.2857,63496.0739,45.5058,45505.8081,500,0,0,1.0000,50.1425,ms and sec explicitly named
DGWO,Scenario_100,100,1016,200,100,0,0.20,0.70,0.10,23.6877,23687.6923,3557.8588,3.7757,3775.6886,100,192,2224,1.0000,3.2176,ms and sec explicitly named
PSO-SA,Scenario_500,500,1012,200,100,0,0.20,0.70,0.10,211.0373,211037.2727,31660.8072,34.8679,34867.9354,500,124,1402,1.0000,39.8285,ms and sec explicitly named
DTSO-TS,Scenario_500,500,1028,200,100,0,0.20,0.70,0.10,68.6200,68620.0000,10295.2698,26.9862,26986.2295,500,426,0,1.0000,28.0121,ms and sec explicitly named
FCFS,Scenario_500,500,1028,0,0,0,0.20,0.70,0.10,423.2643,423264.2857,63496.0739,45.5058,45505.8081,500,0,0,1.0000,45.3023,ms and sec explicitly named
PSO-SA,Scenario_1000,1000,1009,200,100,0,0.20,0.70,0.10,487.3686,487368.5714,73111.2858,76.5439,76543.8910,1000,293,0,1.0000,81.0907,ms and sec explicitly named
RoundRobin,Scenario_5000,5000,1000,0,0,0,0.20,0.70,0.10,3492.1686,3492168.5714,523835.6770,446.4893,446489.2805,5000,2,19,1.0000,457.4709,ms and sec explicitly named
DBDE,Scenario_50,50,1022,200,100,0,0.20,0.70,0.10,20.3688,20368.8462,3059.6096,1.5330,1533.0201,50,75,936,1.0000,2.1473,ms and sec explicitly named
I-COA,Scenario_500,500,1025,200,100,0,0.20,0.70,0.10,169.8857,169885.7143,25488.4559,28.0130,28013.0152,500,1005,1358,1.0000,28.4511,ms and sec explicitly named
GO,Scenario_50,50,1007,200,100,0,0.20,0.70,0.10,38.8286,38828.5714,5829.9001,1.3524,1352.3805,50,91,1153,1.0000,2.3736,ms and sec explicitly named
PSO-SA,Scenario_1000,1000,1025,200,100,0,0.20,0.70,0.10,481.4014,481401.4286,72216.2135,72.8940,72893.9870,1000,292,0,1.0000,77.4237,ms and sec explicitly named
DWOA,Scenario_50,50,1029,200,100,0,0.20,0.70,0.10,25.1420,25141.9565,3774.6212,1.8697,1869.6834,50,82,1034,1.0000,1.8528,ms and sec explicitly named
DTSO-TS,Scenario_1000,1000,1012,200,100,0,0.20,0.70,0.10,138.2180,138218.0000,20735.6114,47.4918,47491.8016,1000,407,0,1.0000,50.7114,ms and sec explicitly named
GO,Scenario_100,100,1017,200,100,0,0.20,0.70,0.10,44.5700,44570.0000,6690.8507,4.0566,4056.5992,100,178,2127,1.0000,3.7361,ms and sec explicitly named
FCFS,Scenario_500,500,1029,0,0,0,0.20,0.70,0.10,423.2643,423264.2857,63496.0739,45.5058,45505.8081,500,0,0,1.0000,47.4964,ms and sec explicitly named
DBDE,Scenario_500,500,1007,200,100,0,0.20,0.70,0.10,346.7786,346778.5714,52023.6829,35.1062,35106.2273,500,735,3308,1.0000,16.3449,ms and sec explicitly named
DTSO-TS,Scenario_500,500,1010,200,100,0,0.20,0.70,0.10,84.3028,84302.7778,12648.2379,26.6217,26621.7488,500,176,2121,1.0000,28.4468,ms and sec explicitly named
RoundRobin,Scenario_2000,2000,1003,0,0,0,0.20,0.70,0.10,1396.5057,1396505.7143,209484.4558,176.1992,176199.1639,2000,0,3,1.0000,183.4332,ms and sec explicitly named
DBDE,Scenario_50,50,1023,200,100,0,0.20,0.70,0.10,19.8132,19813.2051,2975.5598,1.2169,1216.8680,50,75,818,1.0000,2.1557,ms and sec explicitly named
GO,Scenario_500,500,1027,200,100,0,0.20,0.70,0.10,180.3688,180368.8492,27061.2877,25.4194,25419.4142,500,1190,3539,1.0000,24.2593,ms and sec explicitly named
DBDE,Scenario_50,50,1000,200,100,0,0.20,0.70,0.10,21.2854,21285.3846,3197.4026,1.9416,1941.5763,50,74,765,1.0000,2.1094,ms and sec explicitly named
FCFS,Scenario_500,500,1004,0,0,0,0.20,0.70,0.10,423.2643,423264.2857,63496.0739,45.5058,45505.8081,500,0,1,1.0000,46.9546,ms and sec explicitly named
DGWO,Scenario_2000,2000,1022,200,100,0,0.20,0.70,0.10,704.7457,704745.7143,105723.1222,104.4630,104463.0353,2000,5231,2887,1.0000,95.0845,ms and sec explicitly named
GO,Scenario_50,50,1008,200,100,0,0.20,0.70,0.10,22.4789,22478.8889,3376.0393,1.0494,1049.4065,50,164,0,1.0000,2.2429,ms and sec explicitly named
PSO-SA,Scenario_500,500,1013,200,100,0,0.20,0.70,0.10,229.5714,229571.4286,34441.2173,32.9345,32934.4516,500,125,1424,1.0000,39.5766,ms and sec explicitly named
I-COA,Scenario_100,100,1009,200,100,0,0.20,0.70,0.10,30.7143,30714.2857,4611.4936,3.7925,3792.4540,100,451,0,1.0000,4.5556,ms and sec explicitly named
DGWO,Scenario_100,100,1017,200,100,0,0.20,0.70,0.10,69.0511,69051.1111,10363.4574,7.6308,7630.7956,100,270,0,1.0000,3.0716,ms and sec explicitly named
DCOA-TS,Scenario_500,500,1018,200,100,0,0.20,0.70,0.10,69.2053,69205.2941,10383.9855,23.9198,23919.7712,500,438,0,1.0000,28.7358,ms and sec explicitly named
RoundRobin,Scenario_500,500,1000,0,0,0,0.20,0.70,0.10,335.9657,335965.7143,50400.7805,41.7110,41711.0054,500,0,0,1.0000,47.3831,ms and sec explicitly named
DBDE,Scenario_50,50,1001,200,100,0,0.20,0.70,0.10,25.2050,25205.0000,3785.2155,1.5920,1591.9608,50,95,772,1.0000,2.1654,ms and sec explicitly named
FCFS,Scenario_500,500,1005,0,0,0,0.20,0.70,0.10,423.2643,423264.2857,63496.0739,45.5058,45505.8081,500,1,0,1.0000,53.3388,ms and sec explicitly named
GO,Scenario_50,50,1009,200,100,0,0.20,0.70,0.10,20.2440,20244.0000,3040.4279,0.7974,797.3556,50,95,787,1.0000,1.8741,ms and sec explicitly named
GO,Scenario_100,100,1018,200,100,0,0.20,0.70,0.10,60.3467,60346.6667,9058.0261,4.8225,4822.5137,100,254,0,1.0000,3.4233,ms and sec explicitly named
DTSO-TS,Scenario_500,500,1029,200,100,0,0.20,0.70,0.10,85.7452,85745.2000,12864.7026,26.4883,26488.3326,500,319,0,1.0000,27.3219,ms and sec explicitly named
DGWO,Scenario_50,50,1026,200,100,0,0.20,0.70,0.10,38.9450,38945.0000,5846.2483,2.9517,2951.6674,50,265,0,1.0000,2.1281,ms and sec explicitly named
DBDE,Scenario_50,50,1002,200,100,0,0.20,0.70,0.10,15.4133,15413.3333,2315.4258,1.0804,1080.4261,50,79,760,1.0000,2.2539,ms and sec explicitly named
DCOA-TS,Scenario_500,500,1007,200,100,0,0.20,0.70,0.10,66.6404,66640.3950,9999.8401,22.9076,22907.5798,500,815,0,1.0000,27.6916,ms and sec explicitly named
DTSO-TS,Scenario_500,500,1011,200,100,0,0.20,0.70,0.10,70.7296,70729.5875,10612.2436,27.5882,27588.1946,500,256,0,1.0000,28.3931,ms and sec explicitly named
FCFS,Scenario_500,500,1006,0,0,0,0.20,0.70,0.10,423.2643,423264.2857,63496.0739,45.5058,45505.8081,500,0,0,1.0000,52.9372,ms and sec explicitly named
GO,Scenario_50,50,1010,200,100,0,0.20,0.70,0.10,15.5108,15510.7692,2330.2672,0.9604,960.4321,50,95,1015,1.0000,2.1618,ms and sec explicitly named
DGWO,Scenario_500,500,1027,200,100,0,0.20,0.70,0.10,206.6600,206660.0000,31004.9348,29.1755,29175.4714,500,1228,0,1.0000,18.8988,ms and sec explicitly named
DBDE,Scenario_500,500,1027,200,100,0,0.20,0.70,0.10,259.3708,259370.7792,38912.2144,35.8437,35843.6880,500,830,0,1.0000,15.0075,ms and sec explicitly named
DTSO-TS,Scenario_1000,1000,1007,200,100,0,0.20,0.70,0.10,136.5496,136549.5652,20485.9408,48.1228,48122.8485,1000,431,0,1.0000,49.9497,ms and sec explicitly named
PSO-SA,Scenario_500,500,1014,200,100,0,0.20,0.70,0.10,257.9714,257971.4286,38701.3637,34.0998,34099.8092,500,129,1165,1.0000,36.6092,ms and sec explicitly named
I-COA,Scenario_500,500,1015,200,100,0,0.20,0.70,0.10,207.9257,207925.7143,31194.8839,29.1381,29138.0748,500,1042,731,1.0000,28.9487,ms and sec explicitly named
RoundRobin,Scenario_500,500,1001,0,0,0,0.20,0.70,0.10,335.9657,335965.7143,50400.7805,41.7110,41711.0054,500,0,0,1.0000,44.7804,ms and sec explicitly named
DBDE,Scenario_50,50,1003,200,100,0,0.20,0.70,0.10,16.4412,16441.1538,2470.6862,1.4135,1413.4943,50,75,979,1.0000,1.9938,ms and sec explicitly named
GO,Scenario_500,500,1007,200,100,0,0.20,0.70,0.10,152.7114,152711.4286,22912.9950,24.3039,24303.9116,500,1119,1590,1.0000,24.3042,ms and sec explicitly named
PSO-SA,Scenario_1000,1000,1010,200,100,0,0.20,0.70,0.10,581.9414,581941.4286,87297.9669,76.2846,76284.6299,1000,323,0,1.0000,84.1567,ms and sec explicitly named
DGWO,Scenario_100,100,1018,200,100,0,0.20,0.70,0.10,32.8633,32863.3333,4934.9497,3.6585,3658.4555,100,198,2146,1.0000,3.1655,ms and sec explicitly named
DGWO,Scenario_50,50,1027,200,100,0,0.20,0.70,0.10,21.0113,21011.2500,3154.5832,2.1337,2133.6606,50,98,1231,1.0000,2.0735,ms and sec explicitly named
PSO-SA,Scenario_1000,1000,1026,200,100,0,0.20,0.70,0.10,526.6929,526692.8571,79010.9524,79.3165,79316.5370,1000,323,0,1.0000,84.4611,ms and sec explicitly named
GO,Scenario_50,50,1011,200,100,0,0.20,0.70,0.10,13.0401,13040.0524,1959.8192,1.2438,1243.7524,50,91,1074,1.0000,2.3706,ms and sec explicitly named
RoundRobin,Scenario_500,500,1002,0,0,0,0.20,0.70,0.10,335.9657,335965.7143,50400.7805,41.7110,41711.0054,500,0,0,1.0000,47.2940,ms and sec explicitly named
GO,Scenario_100,100,1019,200,100,0,0.20,0.70,0.10,30.6245,30624.5055,4598.5603,2.9918,2991.7977,100,181,2115,1.0000,4.3667,ms and sec explicitly named
DBDE,Scenario_50,50,1004,200,100,0,0.20,0.70,0.10,17.7623,17762.3077,2667.9170,1.6533,1653.3026,50,74,812,1.0000,2.1114,ms and sec explicitly named
RoundRobin,Scenario_2000,2000,1004,0,0,0,0.20,0.70,0.10,1396.5057,1396505.7143,209484.4558,176.1992,176199.1639,2000,0,0,1.0000,178.9397,ms and sec explicitly named
DWOA,Scenario_500,500,1014,200,100,0,0.20,0.70,0.10,297.9114,297911.4286,44693.8961,32.1953,32195.3389,500,1109,1591,1.0000,18.4724,ms and sec explicitly named
DWOA,Scenario_500,500,1007,200,100,0,0.20,0.70,0.10,342.9757,342975.7143,51455.2132,29.6218,29621.8197,500,956,0,1.0000,20.2030,ms and sec explicitly named
DWOA,Scenario_500,500,1027,200,100,0,0.20,0.70,0.10,271.9105,271910.5195,40793.6625,32.8866,32886.6251,500,946,0,1.0000,19.2191,ms and sec explicitly named
DGWO,Scenario_50,50,1028,200,100,0,0.20,0.70,0.10,15.8691,15869.0617,2383.5671,2.4234,2423.4429,50,98,1066,1.0000,1.9575,ms and sec explicitly named
RoundRobin,Scenario_500,500,1003,0,0,0,0.20,0.70,0.10,335.9657,335965.7143,50400.7805,41.7110,41711.0054,500,0,0,1.0000,46.2285,ms and sec explicitly named
GO,Scenario_50,50,1012,200,100,0,0.20,0.70,0.10,22.4544,22454.4444,3372.9434,0.9728,972.8232,50,91,1017,1.0000,2.0420,ms and sec explicitly named
I-COA,Scenario_100,100,1018,200,100,0,0.20,0.70,0.10,66.0057,66005.7143,9907.3925,4.2628,4262.8059,100,187,2155,1.0000,4.3238,ms and sec explicitly named
DTSO-TS,Scenario_500,500,1012,200,100,0,0.20,0.70,0.10,74.4493,74449.3333,11169.9143,28.2923,28292.2801,500,175,2075,1.0000,30.6638,ms and sec explicitly named
DTSO-TS,Scenario_1000,1000,1013,200,100,0,0.20,0.70,0.10,144.2705,144270.5072,21644.1941,49.2657,49265.7124,1000,466,0,1.0000,51.4187,ms and sec explicitly named
PSO-SA,Scenario_500,500,1015,200,100,0,0.20,0.70,0.10,223.4014,223401.4286,33516.1537,33.8531,33853.0819,500,125,1370,1.0000,36.5166,ms and sec explicitly named
DGWO,Scenario_50,50,1016,200,100,0,0.20,0.70,0.10,16.7950,16795.0000,2522.3671,1.5544,1554.3851,50,98,1032,1.0000,2.2893,ms and sec explicitly named
RoundRobin,Scenario_500,500,1004,0,0,0,0.20,0.70,0.10,335.9657,335965.7143,50400.7805,41.7110,41711.0054,500,0,2,1.0000,45.9567,ms and sec explicitly named
I-COA,Scenario_100,100,1010,200,100,0,0.20,0.70,0.10,87.5900,87590.0000,13145.0847,6.2509,6250.8967,100,385,4113,1.0000,4.3329,ms and sec explicitly named
DGWO,Scenario_100,100,1019,200,100,0,0.20,0.70,0.10,35.5400,35540.0000,5336.3198,3.4438,3443.8238,100,191,2052,1.0000,3.5640,ms and sec explicitly named
DGWO,Scenario_50,50,1029,200,100,0,0.20,0.70,0.10,15.6238,15623.8462,2346.4062,2.0492,2049.2226,50,97,1038,1.0000,2.0776,ms and sec explicitly named
DCOA-TS,Scenario_500,500,1019,200,100,0,0.20,0.70,0.10,64.5079,64507.9412,9679.0092,23.3252,23325.1649,500,378,4066,1.0000,27.8607,ms and sec explicitly named
SJF,Scenario_500,500,1016,0,0,0,0.20,0.70,0.10,372.9657,372965.7143,55952.7513,36.5404,36540.3661,500,0,10,1.0000,40.0261,ms and sec explicitly named
GO,Scenario_50,50,1013,200,100,0,0.20,0.70,0.10,22.4833,22483.3333,3377.0531,1.6558,1655.7796,50,92,978,1.0000,2.3288,ms and sec explicitly named
GO,Scenario_100,100,1020,200,100,0,0.20,0.70,0.10,78.7386,78738.5714,11817.4113,4.9072,4907.1638,100,179,1995,1.0000,3.9559,ms and sec explicitly named
I-COA,Scenario_500,500,1005,200,100,0,0.20,0.70,0.10,205.0757,205075.7143,30767.4590,28.3507,28350.6528,500,1063,802,1.0000,29.9902,ms and sec explicitly named
RoundRobin,Scenario_500,500,1005,0,0,0,0.20,0.70,0.10,335.9657,335965.7143,50400.7805,41.7110,41711.0054,500,0,0,1.0000,45.4647,ms and sec explicitly named
DBDE,Scenario_500,500,1016,200,100,0,0.20,0.70,0.10,224.3957,224395.7143,33665.7653,35.4425,35442.5415,500,842,3620,1.0000,14.9752,ms and sec explicitly named
DGWO,Scenario_50,50,1017,200,100,0,0.20,0.70,0.10,25.1575,25157.5000,3776.7728,2.5437,2543.6891,50,98,1155,1.0000,1.6255,ms and sec explicitly named
SJF,Scenario_500,500,1017,0,0,0,0.20,0.70,0.10,372.9657,372965.7143,55952.7513,36.5404,36540.3661,500,0,1,1.0000,41.7703,ms and sec explicitly named
DCOA-TS,Scenario_1000,1000,1023,200,100,0,0.20,0.70,0.10,118.0077,118007.7143,17706.3143,46.1354,46135.4196,1000,794,3136,1.0000,51.1140,ms and sec explicitly named
DCOA-TS,Scenario_500,500,1000,200,100,0,0.20,0.70,0.10,64.7314,64731.4286,9713.0157,23.1107,23110.7079,500,375,4310,1.0000,27.8577,ms and sec explicitly named
GO,Scenario_50,50,1014,200,100,0,0.20,0.70,0.10,32.0445,32044.5455,4811.7104,1.6635,1663.5276,50,124,0,1.0000,2.2752,ms and sec explicitly named
DCOA-TS,Scenario_500,500,1008,200,100,0,0.20,0.70,0.10,63.2683,63268.2857,9492.8193,23.4050,23404.9904,500,406,0,1.0000,28.3510,ms and sec explicitly named
GO,Scenario_50,50,1000,200,100,0,0.20,0.70,0.10,18.2645,18264.5455,2743.4327,2.0845,2084.4894,50,141,0,1.0000,2.3715,ms and sec explicitly named
RoundRobin,Scenario_500,500,1006,0,0,0,0.20,0.70,0.10,335.9657,335965.7143,50400.7805,41.7110,41711.0054,500,0,0,1.0000,45.8756,ms and sec explicitly named
